Date,Currency,Balance,Unconfirmed:,Total mined:,Value USD,Value BTC,Status,Coin Price
2017-08-03,Monero,0.0050005534,0.0006528944,0.0056534477,0.62311395,0.00013582,ON LINE,122.880479
2017-08-03,FantomCoin,0,0.0378019862,0.0378019862,0,0,ON LINE,0.18656552
2017-08-03,Bytecoin,0,0.04928311,0.04928311,0,0,OFF LINE,0.002131
2017-08-03,DigitalNote,0,0.00026065,0.00026065,0,0,OFF LINE,0.0027642
2017-08-03,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-08-03,Ethereum,0.0016107753,,0.0016107753,0.55133618,0.00012027,OFF LINE,343.840686
2017-08-03,Aeon Coin,,,,,,,
2017-08-03,Ethereum Classic,,,,,,,
2017-08-03,Bitcoin,,,,,,,
,,,,,,,,
,,,,,,,,
2017-08-04,Monero,0.0050005534,0.0042459278,0.0092464812,0.5195875,0.00012239,ON LINE,103.188472
2017-08-04,FantomCoin,0,0.0698657237,0.0698657237,0,0,ON LINE,0.1545
2017-08-04,Bytecoin,0,0.04928311,0.04928311,0,0,OFF LINE,0.0017381
2017-08-04,DigitalNote,0,0.00026065,0.00026065,0,0,OFF LINE,0.002315
2017-08-04,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-08-04,Ethereum,0.0016190755,,0.0016190755,0.4515715,0.00010718,OFF LINE,280.631909
2017-08-04,Aeon Coin,,,,,,,
2017-08-04,Ethereum Classic,,,,,,,
2017-08-04,Bitcoin,,,,,,,
,,,,,,,,
2017-08-05,Monero,0.0100009304,0.0031844201,0.0131853505,1.19621128,0.00026484,ON LINE,$119.86
2017-08-05,FantomCoin,0,0.1107034947,0.1107034947,0,0,ON LINE,0.167148
2017-08-05,Bytecoin,0,0.04928311,0.04928311,0,0,OFF LINE,0.0019747
2017-08-05,DigitalNote,0,0.00026065,0.00026065,0,0,OFF LINE,0.0026483
2017-08-05,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-08-05,Ethereum,0.0016190755,,0.0016190755,0.5275531,0.00011723,OFF LINE,329.161495
2017-08-05,Aeon Coin,,,,,,,
2017-08-05,Ethereum Classic,,,,,,,
2017-08-05,Bitcoin,,,,,,,
,,,,,,,,
2017-08-06,Monero,0.0150292301,0.0028100789,0.017839309,1.7695115,0.00038863,ON LINE,$119.01
2017-08-06,FantomCoin,0,0.1548554552,0.1548554552,0,0,ON LINE,0.1590365
2017-08-06,Bytecoin,0,0.04928311,0.04928311,0,0,OFF LINE,0.0020055
2017-08-06,DigitalNote,0,0.00026065,0.00026065,0,0,OFF LINE,0.0025925
2017-08-06,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-08-06,Ethereum,0.0016190755,,0.0016190755,0.52503058,0.00011531,OFF LINE,329.019789
2017-08-06,Aeon Coin,,,,,,,
2017-08-06,Ethereum Classic,,,,,,,
2017-08-06,Bitcoin,,,,,,,
,,,,,,,,
2017-08-07,Monero,0.0150292301,0.0032677844,0.0182970146,1.79824739,0.00038927,ON LINE,$121.12
2017-08-07,FantomCoin,0,0.1620062684,161927780980,0,0,ON LINE,0.1590365
2017-08-07,Bytecoin,0,0.04928311,0.04928311,0,0,OFF LINE,0.0019734
2017-08-07,DigitalNote,0,0.00026065,0.00026065,0,0,OFF LINE,0.0025661
2017-08-07,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-08-07,Ethereum,0.0016190755,,0.0016190755,0.52810035,0.00011472,OFF LINE,330.466988
2017-08-07,Aeon Coin,,,,,,,
2017-08-07,Ethereum Classic,,,,,,,
2017-08-07,Bitcoin,,,,,,,
,,,,,,,,
2017-08-08,Monero,0.0214137472,0.0008852757,0.0222990229,2.4724955,0.00058295,ON LINE,$115.04
2017-08-08,FantomCoin,0,0.1991340416,0.1991340416,0,0,ON LINE,0.16283557
2017-08-08,Bytecoin,0,0.04928311,0.04928311,0,0,OFF LINE,0.0016925
2017-08-08,DigitalNote,0,0.00026065,0.00026065,0,0,OFF LINE,0.0023214
2017-08-08,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-08-08,Ethereum,0.0021266247,,0.0021266247,0.61601939,0.00014487,ON LINE,297.125044
2017-08-08,Aeon Coin,,,,,,,
2017-08-08,Ethereum Classic,,,,,,,
2017-08-08,Bitcoin,,,,,,,
,,,,,,,,
2017-08-09,Monero,0.0214137472,0.0014291749,0.0228429222,2.46861961,0.00057417,ON LINE,115.08889
2017-08-09,FantomCoin,0,0.2050161009,0.2049376135,0,0,ON LINE,0.18656552
2017-08-09,Bytecoin,0,0.04928311,0.04928311,0,0,OFF LINE,0.0016695
2017-08-09,DigitalNote,0,0.00026065,0.00026065,0,0,OFF LINE,0.0023161
2017-08-09,Infinium-8,0,0.001229277,0.001229277,0,0,OFF LINE,Not Trading
2017-08-09,Ethereum,0.0037505528,,0.0037505528,1.09168091,0.00025469,ON LINE,300.777058
2017-08-09,Aeon Coin,,,,,,,
2017-08-09,Ethereum Classic,,,,,,,
2017-08-09,Bitcoin,,,,,,,
,,,,,,,,
2017-08-10,Monero,0.0214137472,0.0017151623,0.0231289095,2.39801849,0.00056434,ON LINE,113.101518
2017-08-10,FantomCoin,0,0.2079311034,0.207852616,0,0,ON LINE,0.15908276
2017-08-10,Bytecoin,0,0.04928311,0.04928311,0,0,OFF LINE,0.0015355
2017-08-10,DigitalNote,0,0.00026065,0.00026065,0,0,OFF LINE,0.0022613
